player_id,Player Name,Actual Value,Predicted Value,Undervaluation %,Top Positive SHAP Feature,Second Positive SHAP Feature,Top Negative SHAP Feature,Explanation Summary
608760,Arinaldo Rrapaj,700000,10777859.0,14.396941428571427,minutes played (+1.632),assists per 90 (+0.484),N/A,"Arinaldo Rrapaj is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, assists per 90."
734424,Luca Stephenson,1000000,11468574.0,10.468574,minutes played (+2.093),age (+0.477),N/A,"Luca Stephenson is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age."
694039,Nils Rossen,600000,5957022.0,8.92837,minutes played (+1.981),age (+0.343),assists per 90 (-0.117),"Nils Rossen is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is assists per 90."
652632,Max Johnston,700000,6762916.5,8.661309285714285,minutes played (+1.301),age (+0.716),N/A,"Max Johnston is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age."
640245,Will Fish,550000,4905040.5,7.918255454545455,minutes played (+2.689),N/A,assists per 90 (-0.369),Will Fish is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played. The strongest downward pressure is assists per 90.
787776,Valeriy Dubko,500000,4222115.0,7.44423,minutes played (+1.628),age (+0.349),goals per 90 (-0.132),"Valeriy Dubko is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is goals per 90."
1360186,Barney Stewart,500000,4138734.5,7.277469,minutes played (+0.943),goals per 90 (+0.479),N/A,"Barney Stewart is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, goals per 90."
618083,Sem Scheperman,700000,5734355.0,7.191935714285714,minutes played (+1.537),age (+0.397),assists per 90 (-0.077),"Sem Scheperman is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is assists per 90."
1061628,Yevgeniy Pastukh,1000000,8123638.5,7.1236385,minutes played (+2.072),age (+0.386),cards per 90 (-0.060),"Yevgeniy Pastukh is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is cards per 90."
799924,Asker Beck,600000,4415422.5,6.3590375,minutes played (+1.007),age (+0.340),cards per 90 (-0.101),"Asker Beck is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is cards per 90."
640565,Mohamed Nassoh,700000,5105662.0,6.2938028571428575,minutes played (+1.198),age (+0.421),N/A,"Mohamed Nassoh is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age."
982081,Oluwaseun Adewumi,600000,4364381.0,6.273968333333333,minutes played (+1.457),age (+0.287),cards per 90 (-0.139),"Oluwaseun Adewumi is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is cards per 90."
631904,Anselmo García MacNulty,1500000,10869044.0,6.246029333333333,minutes played (+2.363),age (+0.474),assists per 90 (-0.084),"Anselmo García MacNulty is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is assists per 90."
938388,Panagiotis Tsantilas,500000,3581386.8,6.1627735,minutes played (+1.045),goals per 90 (+0.337),assists per 90 (-0.122),"Panagiotis Tsantilas is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, goals per 90. The strongest downward pressure is assists per 90."
461939,Tomás Silva,600000,4277771.0,6.129618333333333,minutes played (+1.838),age (+0.269),goals per 90 (-0.167),"Tomás Silva is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is goals per 90."
729781,Vladyslav Veleten,1000000,7093622.5,6.0936225,minutes played (+1.410),assists per 90 (+0.362),N/A,"Vladyslav Veleten is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, assists per 90."
589374,Milson,900000,6352681.5,6.058535,minutes played (+1.354),assists per 90 (+0.352),cards per 90 (-0.070),"Milson is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, assists per 90. The strongest downward pressure is cards per 90."
891835,Nick Verschuren,900000,6227837.0,5.919818888888889,minutes played (+1.869),age (+0.375),goals per 90 (-0.083),"Nick Verschuren is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is goals per 90."
470606,Leighton Clarkson,1000000,6897322.5,5.8973225,minutes played (+2.070),age (+0.271),goals per 90 (-0.110),"Leighton Clarkson is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is goals per 90."
647281,Dylan Tait,500000,3440587.8,5.8811755,minutes played (+1.323),age (+0.347),assists per 90 (-0.139),"Dylan Tait is flagged as undervalued mainly because these signals push the performance-only model prediction higher: minutes played, age. The strongest downward pressure is assists per 90."
